Nacionalidade,Pop_Residente_Total,Pop_Residente_Masculino,Pop_Residente_Feminino,Concessao_Total,Concessao_Masculino,Concessao_Feminino
Suazilândia,42,11,31,3,-,3
Sudão do Sul,71,35,36,5,2,3
Suécia,6382,3477,2905,623,314,309
Suíça,4058,2128,1930,441,221,220
Suriname,25,14,11,2,2,-
Tailândia,3478,1801,1677,250,100,150
Taiwan,128,51,77,51,22,29
Tajiquistão,65,35,30,6,4,2
Tanzânia,72,35,37,7,4,3
Timor-Leste,1845,1225,620,189,88,101
Togo,105,84,21,12,8,4
Trindade e Tobago,36,20,16,7,2,5
Tunísia,4056,3267,789,760,540,220
Turquemenistão,33,20,13,6,5,1
Turquia,3489,1872,1617,799,420,379
Ucrânia,79232,31271,47961,1715,882,833
Uganda,86,41,45,9,4,5
União das Comores,6,2,4,3,2,1
Urss,5,1,4,-,-,-
Uruguai,454,238,216,64,32,32
Usbequistão,1689,1146,543,90,53,37
Vanuatu,18,14,4,6,4,2
Venezuela,16167,7661,8506,1603,791,812
Vietname,1266,644,622,172,86,86
Zâmbia,54,19,35,2,1,1
Zimbabwe,204,94,110,31,19,12
