Nacionalidade,Pop_Residente_Total,Pop_Residente_Masculino,Pop_Residente_Feminino,Concessao_Total,Concessao_Masculino,Concessao_Feminino
Sérvia,339,145,194,66,28,38
Seychelles,8,2,6,1,0,1
Singapura,156,61,95,44,17,27
Síria,1434,780,654,173,85,88
Somália,87,67,20,22,19,3
Sri Lanka,203,135,68,78,61,17
Suazilândia,18,9,9,6,3,3
Sudão,203,118,85,27,18,9
Sudão do Sul,74,35,39,4,3,1
Suécia,6070,3351,2719,1129,625,504
Suíça,3836,2009,1827,808,438,370
Suriname,8,3,5,3,1,2
Tailândia,2144,1247,897,364,192,172
Taiwan,74,28,46,17,7,10
Tajiquistão,46,22,24,10,6,4
Tanzânia,55,30,25,8,6,2
Timor-Leste,1199,778,421,864,640,224
Togo,68,49,19,7,6,1
Trindade e Tobago,26,17,9,8,5,3
Tunísia,1172,707,465,394,269,125
Turquemenistão,14,6,8,0,0,0
Turquia,2555,1336,1219,554,301,253
Ucrânia,23499,10581,12918,1179,597,582
Uganda,60,30,30,11,4,7
Uruguai,267,140,127,43,28,15
Uzbequistão,1333,828,505,146,86,60
Vanuatu,9,8,1,4,3,1
Venezuela,9300,3906,5394,1446,662,784
Vietname,1052,537,515,159,84,75
Zâmbia,28,13,15,5,2,3
Zimbabwe,118,54,64,28,16,12
