Nacionalidade,Stock_Total,Stock_Homens,Stock_Mulheres,Fluxos_Total,Fluxos_Homens,Fluxos_Mulheres
Lesoto,3,0,3,0,0,0
Letónia,349,98,251,48,13,35
Líbano,218,131,87,77,41,36
Libéria,13,11,2,0,0,0
Líbia,96,54,42,14,6,8
Liechtenstein,8,4,4,5,3,2
Lituânia,585,184,401,97,32,65
Luxemburgo,166,98,68,27,18,9
Macau,2,1,1,1,0,1
Macedónia,33,11,22,9,0,9
Madagáscar,7,0,7,1,0,1
Malásia,60,25,35,10,5,5
Malawi,17,3,14,4,1,3
Maldivas,3,2,1,0,0,0
Mali,57,46,11,10,4,6
Malta,24,12,12,6,3,3
Marrocos,1576,783,793,92,44,48
Maurícias (Ilhas),22,12,10,8,5,3
Mauritânia,25,21,4,3,3,0
México,474,183,291,81,36,45
Moçambique,2848,1246,1602,342,166,176
Moldávia,6125,2786,3339,249,99,150
Mongólia,27,8,19,4,0,4
Montenegro,12,7,5,1,1,0
Myanmar (Birmânia),9,5,4,4,2,2
Namíbia,16,3,13,1,1,0
Nepal,5835,3863,1972,1348,785,563
Nicarágua,15,2,13,1,0,1
Níger,1,0,1,0,0,0
Nigéria,478,301,177,121,82,39
Noruega,573,315,258,104,53,51
Nova Zelândia,45,22,23,11,4,7
Oman,2,2,0,0,0,0
Palau,1,1,0,0,0,0
Palestina,73,41,32,19,11,8
Panamá,32,7,25,9,5,4
Paquistão,3175,2133,1042,468,310,158
Paraguai,103,30,73,18,9,9
Peru,284,108,176,28,14,14
Polónia,1576,472,1104,426,144,282
Qatar,4,3,1,1,0,1
Quénia,75,28,47,20,10,10
Quirguistão,27,10,17,1,1,0
Reino Unido,19384,10204,9180,3066,1664,1402
Reino Unido (British Subject),7,2,5,0,0,0
República Centro-Africana,8,4,4,5,3,2
República Checa,310,102,208,85,25,60
República Dominicana,136,43,93,16,7,9
Roménia,30429,16591,13838,2479,1480,999
Ruanda,26,7,19,9,1,8
Rússia,4283,1494,2789,314,115,199
Samoa,1,0,1,0,0,0
Santa Lúcia,1,0,1,0,0,0
São Cristóvão e Nevis,17,12,5,6,3,3
São Tomé e Príncipe,8968,4003,4965,548,237,311
Senegal,1356,877,479,113,54,59
Serra Leoa,60,36,24,15,7,8
Sérvia,188,74,114,26,13,13
Seychelles,7,5,2,1,1,0
Singapura,38,14,24,10,6,4
Síria,470,259,211,427,240,187
Somália,51,29,22,2,1,1
Sri Lanka,77,51,26,19,9,10
Suazilândia,4,0,4,0,0,0
Sudão,50,37,13,9,6,3
Suécia,2633,1497,1136,749,423,326
Suíça,1557,823,734,314,157,157
Tailândia,1475,1022,453,297,187,110
Taiwan,39,17,22,9,2,7
Tajiquistão,16,9,7,5,3,2
Tanzânia,27,16,11,1,1,0
Timor Leste,188,124,64,59,40,19
Togo,37,19,18,6,6,0
Tonga,1,0,1,0,0,0
Trindade e Tobago,7,3,4,2,0,2
Tunísia,203,121,82,22,13,9
Turquemenistão,5,2,3,0,0,0
Turquia,696,347,349,71,29,42
Ucrânia,34490,16700,17790,1240,568,672
Uganda,25,14,11,5,4,1
Uruguai,127,63,64,20,11,9
Uzbequistão,968,538,430,58,25,33
Vanuatu,1,1,0,1,1,0
Venezuela,2356,970,1386,453,179,274
Vietname,124,53,71,68,32,36
Zâmbia,5,0,5,2,0,2
Zimbabwe,37,16,21,7,4,3
