Nacionalidade,Stock_Total,Stock_Homens,Stock_Mulheres,Fluxos_Total,Fluxos_Homens,Fluxos_Mulheres
Luxemburgo,144,83,61,21,14,7
Macau,1,1,0,0,0,0
Macedónia,27,15,12,10,5,5
Madagáscar,9,1,8,4,0,4
Malásia,59,24,35,9,5,4
Malawi,12,2,10,2,0,2
Maldivas,3,2,1,0,0,0
Mali,45,39,6,3,2,1
Malta,25,11,14,3,2,1
Marrocos,1681,852,829,136,56,80
Maurícias (Ilhas),17,9,8,2,1,1
Mauritânia,24,21,3,1,1,0
México,433,177,256,48,23,25
Moçambique,2809,1220,1589,318,163,155
Moldávia,6948,3204,3744,235,91,144
Mongólia,32,14,18,3,1,2
Montenegro,9,5,4,1,0,1
Myanmar (Birmânia),7,4,3,1,1,0
Namíbia,18,6,12,1,0,1
Nepal,4798,3292,1506,1369,956,413
Nicarágua,16,4,12,1,0,1
Níger,6,5,1,2,2,0
Nigéria,428,252,176,59,34,25
Noruega,515,287,228,67,42,25
Nova Zelândia,39,23,16,9,6,3
Oman,3,3,0,0,0,0
Palau,1,0,1,0,0,0
Palestina,52,27,25,10,4,6
Panamá,27,5,22,1,0,1
Paquistão,3042,2058,984,568,403,165
Paraguai,92,23,69,14,6,8
Peru,256,86,170,24,8,16
Polónia,1382,395,987,315,81,234
Quénia,64,18,46,13,4,9
Quirguistão,31,11,20,0,0,0
Reino Unido,17230,9049,8181,1866,1053,813
Reino Unido (British Subject),7,2,5,0,0,0
República Centro-Africana,7,4,3,1,1,0
República Checa,276,92,184,73,29,44
República Dominicana,132,36,96,14,4,10
Reunião,1,1,0,0,0,0
Roménia,30523,16714,13809,2569,1565,1004
Ruanda,20,6,14,8,0,8
Rússia,4263,1517,2746,293,93,200
Samoa,1,0,1,0,0,0
Santa Lúcia,1,0,1,0,0,0
São Cristóvão e Nevis,15,6,9,6,1,5
São Tomé e Príncipe,9546,4282,5264,505,227,278
São Vicente e Granadinas,1,1,0,0,0,0
Senegal,1515,1026,489,105,60,45
Serra Leoa,63,39,24,5,2,3
Sérvia,192,74,118,19,8,11
Seychelles,6,4,2,0,0,0
Singapura,28,8,20,4,3,1
Síria,164,98,66,57,36,21
Somália,54,31,23,7,3,4
Sri Lanka,60,42,18,9,6,3
Suazilândia,8,2,6,1,0,1
Sudão,38,30,8,8,3,5
Suécia,1989,1136,853,643,388,255
Suíça,1263,678,585,215,119,96
Tailândia,1428,1023,405,396,271,125
Taiwan,36,17,19,5,3,2
Tajiquistão,15,8,7,5,2,3
Tanzânia,32,18,14,3,3,0
Timor Leste,169,111,58,44,27,17
Togo,35,16,19,5,1,4
Tonga,1,0,1,1,0,1
Trindade e Tobago,8,4,4,1,0,1
Tunísia,176,112,64,23,14,9
Turquemenistão,12,7,5,5,3,2
Turquia,596,305,291,38,18,20
Ucrânia,35779,17436,18343,1098,466,632
Uganda,18,12,6,1,1,0
Uruguai,122,61,61,19,10,9
Uzbequistão,992,567,425,48,20,28
Venezuela,2010,854,1156,241,85,156
Vietname,77,37,40,15,7,8
Zâmbia,7,1,6,0,0,0
Zimbabwe,38,15,23,7,2,5
