Nacionalidade,Stock_Total,Stock_Homens,Stock_Mulheres,Fluxos_Total,Fluxos_Homens,Fluxos_Mulheres
Nepal,23839,15022,8817,3858,2327,1531
Nicarágua,61,27,34,14,8,6
Níger,9,6,3,2,1,1
Nigéria,1050,732,318,257,186,71
Noruega,1086,658,428,200,119,81
Nova Zelândia,150,83,67,46,30,16
Oman,4,3,1,1,1,0
Países Baixos,12066,6461,5605,2208,1231,977
Palestina,66,37,29,9,6,3
Panamá,91,34,57,15,8,7
Paquistão,10828,8122,2706,3997,3155,842
Paraguai,167,52,115,31,15,16
Peru,617,276,341,198,115,83
Polónia,4326,1580,2746,1101,482,619
Qatar,7,5,2,4,3,1
Quénia,111,42,69,28,12,16
Quirguistão,36,14,22,9,3,6
Reino Unido,45218,25113,20105,2994,1724,1270
Reino Unido (British Subject),47,23,24,38,19,19
República Centro-Africana,8,4,4,0,0,0
República Checa,736,302,434,242,117,125
República Dominicana,181,58,123,35,16,19
Roménia,23393,12296,11097,1168,604,564
Ruanda,31,12,19,7,3,4
Rússia,6075,2498,3577,1454,759,695
Samoa,2,1,1,1,1,0
Santa Lúcia,3,1,2,0,0,0
São Cristóvão e Nevis,56,36,20,5,3,2
São Tomé e Príncipe,13077,6095,6982,2776,1348,1428
São Vicente e Granadinas,1,1,0,0,0,0
Senegal,2014,1552,462,492,414,78
Serra Leoa,152,109,43,48,40,8
Sérvia,311,136,175,54,25,29
Seychelles,5,2,3,3,0,3
Singapura,109,41,68,26,12,14
Síria,1193,653,540,128,67,61
Somália,70,49,21,12,6,6
Sri Lanka,129,80,49,28,17,11
Suazilândia,13,7,6,3,2,1
Sudão,177,102,75,21,13,8
Sudão do Sul,70,32,38,5,1,4
Suécia,5653,3084,2569,807,422,385
Suíça,3501,1804,1697,590,303,287
Suriname,5,2,3,2,0,2
Tailândia,1977,1195,782,171,77,94
Taiwan,58,20,38,19,8,11
Tajiquistão,39,17,22,4,3,1
Tanzânia,48,28,20,13,8,5
Timor Leste,361,145,216,101,44,57
Togo,67,48,19,12,9,3
Trindade e Tobago,19,13,6,4,3,1
Tunísia,731,414,317,247,143,104
Turquemenistão,12,4,8,1,0,1
Turquia,1367,708,659,361,203,158
Ucrânia,25445,11626,13819,1125,507,618
Uganda,46,26,20,11,9,2
Uruguai,255,136,119,39,19,20
Uzbequistão,1297,808,489,140,102,38
Vanuatu,3,3,0,1,1,0
Venezuela,8936,3720,5216,1562,659,903
Vietname,473,244,229,152,94,58
Zâmbia,29,13,16,1,1,0
Zimbabwe,89,40,49,23,14,9
