Nacionalidade,Stock_Total,Stock_Homens,Stock_Mulheres,Fluxos_Total,Fluxos_Homens,Fluxos_Mulheres
Panamá,66,20,46,14,5,9
Papua-Nova Guiné,2,1,1,2,1,1
Paquistão,5310,3788,1522,1037,769,268
Paraguai,124,31,93,24,10,14
Peru,325,108,217,85,26,59
Polónia,2759,883,1876,622,209,413
Qatar,3,1,2,1,1,0
Quénia,107,39,68,14,5,9
Quirguistão,27,10,17,3,2,1
Reino Unido,34358,18554,15804,8353,4645,3708
Reino Unido (British Subject),9,4,5,0,0,0
República Centro-Africana,9,4,5,0,0,0
República Checa,509,173,336,131,50,81
República Dominicana,161,57,104,24,6,18
Roménia,31065,16859,14206,1862,1099,763
Ruanda,29,11,18,7,4,3
Rússia,4885,1768,3117,646,253,393
Samoa,1,0,1,0,0,0
São Cristóvão e Nevis,67,37,30,15,9,6
São Tomé e Príncipe,10241,4586,5655,1525,713,812
São Vicente e Granadinas,1,1,0,0,0,0
Senegal,1446,993,453,286,235,51
Serra Leoa,88,53,35,12,7,5
Sérvia,219,91,128,40,16,24
Seychelles,5,3,2,0,0,0
Singapura,52,15,37,18,7,11
Síria,1105,610,495,206,107,99
Somália,42,23,19,8,3,5
Sri Lanka,89,56,33,13,8,5
Suazilândia,6,1,5,0,0,0
Sudão,105,68,37,39,25,14
Sudão do Sul,39,16,23,26,13,13
Suécia,4912,2702,2210,870,479,391
Suíça,2582,1357,1225,473,247,226
Suriname,1,0,1,1,0,1
Tailândia,1726,1104,622,61,15,46
Taiwan,36,13,23,11,4,7
Tajiquistão,26,12,14,3,2,1
Tanzânia,40,26,14,9,7,2
Timor Leste,344,172,172,105,43,62
Togo,37,20,17,6,3,3
Trindade e Tobago,14,9,5,2,0,2
Tunísia,358,214,144,108,60,48
Turquemenistão,12,5,7,2,1,1
Turquia,1293,640,653,393,194,199
Ucrânia,29718,13604,16114,1829,821,1008
Uganda,32,16,16,8,3,5
Uruguai,171,83,88,35,14,21
Uzbequistão,1109,647,462,126,89,37
Vanuatu,2,2,0,1,1,0
Venezuela,6551,2639,3912,1888,788,1100
Vietname,515,242,273,189,87,102
Zâmbia,13,5,8,5,2,3
Zimbabwe,64,29,35,17,5,12
